"Wavelength (nm" "Irradiance (mW/m2)"
315 58.9034491277
316 71.2957912547
317 87.1317829589
318 106.5986178102
319 126.8732590674
320 150.1963080715
321 180.8968605991
322 212.9287310186
323 247.7502031507
324 288.7983839381
325 330.1542501191
326 374.3345856371
327 427.387624046
328 483.5001858154
329 538.8937535594
330 603.7985926743
331 667.5550222285
332 733.8145209761
333 811.6730999737
334 914.1369355902
335 945.0186727224
336 1018.9231812039
337 1095.6640624514
338 1167.4011054488
339 1241.2506247162
340 1305.4819537637
341 1366.5165907706
342 1441.698038369
343 1490.3445780673
344 1549.3857126116
345 1598.3944209697
346 1624.3703518485
347 1676.3525221733
348 1705.364549086
349 1720.4558050359
350 1741.8403929426
351 1764.1050456594
352 1762.9361061949
353 1760.0981306519
354 1734.6213437123
355 1726.6621638569
356 1709.2383997365
357 1671.7681891094
358 1646.240182478
359 1609.2257072975
360 1568.050748444
361 1523.8575083194
362 1462.4060422285
363 1422.1478993558
364 1477.2574023845
365 1882.3054992418
366 1391.0183175125
367 1182.5200219154
368 1120.0740939798
369 1064.60388229
370 1006.9294554388
371 953.6004043035
372 882.1762302665
373 835.6487927459
374 781.0902576546
375 723.3164825263
376 678.0462277524
377 632.3039453575
378 579.7307689225
379 533.5206204358
380 504.1223211352
381 466.0750042058
382 428.8955149621
383 389.7902422401
384 358.7729814189
385 330.4626515588
386 303.443233807
387 276.0692429366
388 249.1959701141
389 233.5947481564
390 220.2113062788
391 197.8435342385
392 177.7998496862
393 156.6269934622
394 148.0023414449
395 134.3761774328
396 123.0940468131
397 109.8801873998
398 98.2424765777
399 88.732455004
400 83.1582734775
