Wavelength (nm),Irradiance (mW/m2)
340,5.4750298534
341,6.6121618286
342,8.1156009243
343,10.1091653823
344,13.2024972352
345,17.1489878117
346,22.5138994809
347,31.2040876465
348,42.2048502976
349,57.541676621
350,81.3446048025
351,112.8800664397
352,156.5967169537
353,220.4886248023
354,298.1050079718
355,406.1018205143
356,565.4284465819
357,760.0151827227
358,992.9203428037
359,1303.3459835881
360,1644.1548136405
361,2070.4962344812
362,2643.4429802001
363,3090.6705461442
364,3554.8385913721
365,4355.0902131931
366,4282.0109925515
367,4394.3771137562
368,4499.7775153265
369,4528.3507750614
370,4434.8306565541
371,4266.5561814964
372,3994.5584257391
373,3759.0622665401
374,3437.1312986136
375,3133.4547298187
376,2858.7061307004
377,2564.9867622917
378,2278.9416856149
379,2016.9526989779
380,1810.3196982036
381,1615.7160982221
382,1425.6342617305
383,1227.6468968997
384,1085.747021769
385,954.0086857412
386,826.2205558565
387,721.7330889654
388,620.2415204666
389,546.8265076857
390,490.0640614399
391,421.6617330888
392,357.0685918859
393,300.8742888043
394,269.9734627013
395,230.07531601
396,201.7961565576
397,170.4694621194
398,142.554182617
399,123.6086189167
400,110.013302676
