#"NB-UVB (TL01)"
#"Wavelength (nm)" "Irradiance (mW/m2)"
280 4.934000123
281 1.475022938
282 2.5196146182
283 2.0892924121
284 2.2229296601
285 3.3913605342
286 3.8453702297
287 4.6770324985
288 7.0874487793
289 33.5512351521
290 8.8798513926
291 10.7990414212
292 16.2447163392
293 15.4070235092
294 17.3353800334
295 20.6280368488
296 93.4004015172
297 60.1431338415
298 33.4611644556
299 37.6255534193
300 43.1153064845
301 52.5381668819
302 108.2367034673
303 59.4715072096
304 89.2658746095
305 466.7425334534
306 569.7085064626
307 116.5966633165
308 173.9238565919
309 402.4471183012
310 4526.2136832901
311 11247.5677068849
312 9124.0056267812
313 1380.4517997615
314 528.5026447905
315 276.6879458279
316 189.1165283483
317 160.6007684775
318 146.6856627981
319 140.9826849626
320 142.5816837947
