nm    	ext #1 = extinction coefficient [cm^-1 (mg/ml)^-1]	ext #2 = extinction coefficient [cm^-1 (moles/liter)^-1]
209.99	41.9	 	7458.2
212.21	40.667	7238.7
218.91	39.082	6956.6
223.36	37.145	6611.8
230.06	35.383	6298.2
239.0	33.445	5953.2
245.7	31.507	5608.2
261.38	29.392	5231.8
279.3	27.277	4855.3
294.99	25.338	4510.2
312.92	23.575	4196.4
324.13	22.517	4008
342.06	20.578	3662.9
357.75	18.639	3317.7
382.42	16.523	2941.1
407.07	13.878	2470.3
431.74	11.938	2125
458.67	10.173	1810.8
483.36	8.937	1590.8
523.76	6.995	1245.1
550.7	5.758	1024.9
588.87	4.520	804.56
615.82	3.988	709.86
642.77	3.280	583.84
680.96	2.746	488.79
712.41	2.214	394.09
734.88	2.034	362.05
764.09	1.854	330.01
782.06	1.675	298.15
804.53	1.496	266.29
820.26	1.494	265.93
