"Wavelength (nm)" "Irradiance 9mW/m2)"
340 95.7745713829
341 163.5014309562
342 146.8451731436
343 202.0787259384
344 490.154406122
345 439.7910636169
346 345.4124705441
347 571.2099260482
348 501.5759392323
349 935.3840779849
350 1053.5048892386
351 1934.2933366547
352 4063.5837754163
353 2604.3301461637
354 1543.9270382057
355 1741.2477669916
356 3234.267864493
357 4832.3624114296
358 6216.3378200133
359 2976.1735121743
360 2984.9995885579
361 4530.0272576748
362 4246.6646884892
363 4385.1332000246
364 5617.0583792587
365 19245.9431572086
366 7873.722632356
367 2852.5856930498
368 4562.9866976937
369 3441.8862889857
370 4211.3206293061
371 5068.0694573067
372 7782.4318466562
373 10409.1907099427
374 10911.7828109199
375 10151.0057515912
376 8580.2835363831
377 7520.8815244761
378 7061.276971488
379 6258.3926251157
380 5782.3595921115
381 6846.21453756
382 12960.4458126011
383 8407.7190026218
384 8513.0556897733
385 5714.4986191796
386 6367.0230089988
387 5877.7224334662
388 6183.6780776135
389 6122.1681483275
390 5094.9236529344
391 2349.6497024318
392 3759.7932343329
393 3069.1968834209
394 1540.9430424668
395 1728.0629052481
396 1681.7219989492
397 2232.0612365992
398 929.4906847514
399 1224.7180281848
400 1625.6620173156
