nm    	ext #1 = extinction coefficient [cm^-1 (mg/ml)^-1]	ext #2 = extinction coefficient [cm^-1 (moles/liter)^-1]
213.54	47.193	13922
217.92	46.14	13611
222.25	44.738	13198
226.55	43.161	12732
228.59	41.586	12268
232.91	40.183	11854
234.95	38.608	11389
241.54	37.204	10975
243.61	35.803	10562
247.96	34.576	10200
250.18	34.224	10096
256.82	33.17	9785.1
263.41	31.765	9370.7
270.05	30.711	9059.7
276.71	29.831	8800.1
285.6	28.599	8436.7
292.24	27.545	8125.8
298.88	26.49	7814.5
303.26	25.437	7503.9
312.08	23.856	7037.5
323.18	22.273	6570.5
334.25	20.516	6052.2
343.05	18.76	5534.2
351.88	17.179	5067.8
360.76	15.947	4704.4
376.38	14.361	4236.5
387.5	12.952	3820.8
403.2	11.89	3507.6
418.85	10.478	3091
430.04	9.594	2830.2
443.45	8.359	2465.9
459.17	7.472	2204.2
481.61	6.054	1785.9
501.83	4.988	1471.5
524.32	3.919	1156.1
549.09	3.024	892.08
591.91	1.589	468.76
600.98	1.756	518.02
625.84	1.385	408.58
652.98	1.187	350.17
675.59	0.993	292.93
700.47	0.797	235.11
720.81	0.605	178.48
750.22	0.405	119.47
770.62	0.562	165.79
786.44	0.374	110.33
802.28	0.361	106.5
820.37	0.170	50.15
829.42	0.163	48.085
