#solar	watt/m2
280	2.40991E-05
281	1.78986E-05
282	1.77147E-05
283	1.77024E-05
284	1.76338E-05
285	1.75426E-05
286	1.7502E-05
287	1.73772E-05
288	1.72741E-05
289	1.72486E-05
290	1.72401E-05
291	2.32197E-05
292	4.14317E-05
293	8.97823E-05
294	0.000176174
295	0.000425866
296	0.000798867
297	0.001519679
298	0.002787992
299	0.004404722
300	0.006900753
301	0.010592488
302	0.018562553
303	0.029626137
304	0.039652882
305	0.049920434
306	0.061808229
307	0.08076412
308	0.092267562
309	0.100655117
310	0.129271544
311	0.154345498
312	0.171810196
313	0.185984583
314	0.198956177
315	0.202783207
316	0.224959496
317	0.251350875
318	0.262544072
319	0.28468963
320	0.304377742
321	0.303678865
322	0.296454594
323	0.311614028
324	0.356826047
325	0.407472821
326	0.459613481
327	0.465732313
328	0.475216909
329	0.51507902
330	0.516308215
331	0.500750245
332	0.495727445
333	0.495251415
334	0.504013312
335	0.499304558
336	0.466076416
337	0.45987371
338	0.490320144
339	0.526577611
340	0.538757981
341	0.535228744
342	0.542121056
343	0.528108976
344	0.493240083
345	0.500026369
346	0.521702489
347	0.51855928
348	0.514295652
349	0.523902722
350	0.560678423
351	0.578050651
352	0.562001667
353	0.590805019
354	0.640143791
355	0.631589258
356	0.570183981
357	0.494069118
358	0.481489893
359	0.557246578
360	0.585705013
361	0.56556061
362	0.590009609
363	0.614072337
364	0.631903316
365	0.688710173
366	0.731913307
367	0.712918347
368	0.702427684
369	0.722833277
370	0.72398252
371	0.695394281
372	0.646220779
373	0.587255494
374	0.583640397
375	0.631899944
376	0.703971894
377	0.784671474
378	0.782740703
379	0.728627416
380	0.726725553
381	0.658373325
382	0.530859013
383	0.494711055
384	0.575012462
385	0.630463577
386	0.634583444
387	0.633820246
388	0.648003086
389	0.716407122
390	0.797737739
391	0.813098166
392	0.670339503
393	0.514146628
394	0.606753026
395	0.750100091
396	0.647505341
397	0.64289738
398	0.878812856
399	1.058415207
400	1.107999207
